Date,Open,High,Low,Close,Volume,Adj Close,Number of Trades,VWAP,Is OTC,Ticker
2023-05-09,173.05,173.54,171.6,171.77,45326874.0,171.77,456209,172.3162,False,AAPL
2023-05-10,173.02,174.03,171.9,173.555,53724501.0,173.555,511486,173.1737,False,AAPL
2023-05-11,173.85,174.59,172.17,173.75,49473076.0,173.75,501955,173.4903,False,AAPL
2023-05-12,173.62,174.06,171.0,172.57,45533138.0,172.57,490533,172.3696,False,AAPL
2023-05-15,173.16,173.21,171.47,172.07,37264259.0,172.07,444785,172.1109,False,AAPL
2023-05-16,171.99,173.1383,171.7991,172.07,42110293.0,172.07,436165,172.2781,False,AAPL
2023-05-17,171.71,172.925,170.4201,172.69,57934404.0,172.69,554940,171.85,False,AAPL
2023-05-18,173.0,175.24,172.58,175.05,65496657.0,175.05,595692,174.3014,False,AAPL
2023-05-19,176.39,176.39,174.94,175.16,55525641.0,175.16,532731,175.5191,False,AAPL
2023-05-22,173.98,174.71,173.45,174.2,43570932.0,174.2,526393,174.1828,False,AAPL
2023-05-23,173.13,173.3794,171.275,171.56,50745163.0,171.56,535091,172.1908,False,AAPL
2023-05-24,171.09,172.4183,170.52,171.84,43711588.0,171.84,492275,171.5088,False,AAPL
2023-05-25,172.41,173.895,171.69,172.99,55889523.0,172.99,534909,172.8818,False,AAPL
2023-05-26,173.32,175.77,173.11,175.43,54834975.0,175.43,529918,175.1454,False,AAPL
2023-05-30,176.96,178.99,176.57,177.3,55963954.0,177.3,651318,177.4489,False,AAPL
2023-05-31,177.325,179.35,176.76,177.25,99625288.0,177.25,669221,177.9376,False,AAPL
2023-06-01,177.7,180.12,176.9306,180.09,68901712.0,180.09,624132,179.3796,False,AAPL
2023-06-02,181.03,181.78,179.26,180.95,61996852.0,180.95,617235,180.6479,False,AAPL
2023-06-05,182.63,184.951,178.035,179.58,121722517.0,179.58,1286180,182.1408,False,AAPL
2023-06-06,179.965,180.12,177.43,179.21,64845314.0,179.21,705164,178.7093,False,AAPL
2023-06-07,178.44,181.21,177.32,177.82,61944615.0,177.82,669062,178.6619,False,AAPL
2023-06-08,177.895,180.84,177.46,180.57,50210681.0,180.57,548456,179.5493,False,AAPL
2023-06-09,181.5,182.23,180.63,180.96,48869360.0,180.96,557894,181.4395,False,AAPL
2023-06-12,181.27,183.89,180.97,183.79,54754995.0,183.79,562058,182.836,False,AAPL
2023-06-13,182.8,184.15,182.44,183.31,54867129.0,183.31,608337,183.1702,False,AAPL
2023-06-14,183.37,184.39,182.02,183.95,57462782.0,183.95,614097,183.7101,False,AAPL
2023-06-15,183.96,186.52,183.78,186.01,65433166.0,186.01,697003,185.5672,False,AAPL
2023-06-16,186.73,186.99,184.27,184.92,101151225.0,184.92,616272,185.4644,False,AAPL
2023-06-20,184.41,186.1,184.41,185.01,49799092.0,185.01,577495,185.2709,False,AAPL
2023-06-21,184.9,185.41,182.5901,183.96,49515697.0,183.96,520855,184.0809,False,AAPL
2023-06-22,183.74,187.045,183.67,187.0,51245327.0,187.0,563076,186.1166,False,AAPL
2023-06-23,185.55,187.56,185.01,186.68,53112346.0,186.68,539704,186.4952,False,AAPL
2023-06-26,186.83,188.05,185.23,185.27,48088661.0,185.27,584497,186.3292,False,AAPL
2023-06-27,185.89,188.39,185.67,188.06,50730846.0,188.06,511866,187.4998,False,AAPL
2023-06-28,187.93,189.9,187.6,189.25,51216801.0,189.25,559145,188.8916,False,AAPL
2023-06-29,189.08,190.07,188.94,189.59,46347308.0,189.59,525367,189.5561,False,AAPL
2023-06-30,191.63,194.48,191.26,193.97,85068452.0,193.97,774380,193.102,False,AAPL
2023-07-03,193.78,193.88,191.76,192.46,31458198.0,192.46,500175,192.6624,False,AAPL
2023-07-05,191.565,192.98,190.62,191.33,46896861.0,191.33,560170,191.5803,False,AAPL
2023-07-06,189.84,192.02,189.2,191.81,45155523.0,191.81,562755,190.8214,False,AAPL
2023-07-07,191.41,192.67,190.24,190.68,46757498.0,190.68,538826,191.4218,False,AAPL
2023-07-10,189.26,189.99,187.035,188.61,59912163.0,188.61,736912,188.3628,False,AAPL
2023-07-11,189.16,189.3,186.6,188.08,46638119.0,188.08,577717,187.8219,False,AAPL
2023-07-12,189.68,191.7,188.47,189.77,60750218.0,189.77,652126,189.9586,False,AAPL
2023-07-13,190.5,191.19,189.78,190.54,41337338.0,190.54,467952,190.565,False,AAPL
2023-07-14,190.23,191.1799,189.63,190.69,41616242.0,190.69,513233,190.4662,False,AAPL
2023-07-17,191.9,194.32,191.81,193.99,50520159.0,193.99,602852,193.2997,False,AAPL
2023-07-18,193.35,194.33,192.415,193.73,48153774.0,193.73,544605,193.3846,False,AAPL
2023-07-19,193.1,198.23,192.65,195.1,80492323.0,195.1,776766,194.9188,False,AAPL
