Ticker,Date,Title,Description,Source,URL
AAPL,2025-05-01 06:50:52+00:00,Apple (NASDAQ:AAPL) Stock Price Down 0.3% on Analyst Downgrade,Apple Inc. (NASDAQ:AAPL – Get Free Report) shares dropped 0.3% during trading on Wednesday after Loop Capital lowered their price target on the stock from $230.00 to $215.00. Loop Capital currently has a hold rating on the stock. Apple traded as low as $206.6…,ETF Daily News,https://www.etfdailynews.com/2025/05/01/apple-nasdaqaapl-stock-price-down-0-3-on-analyst-downgrade/
AAPL,2025-05-01 00:43:39+00:00,"Microsoft quiets critics, delivers the kind of quarter worthy of its post-earnings stock pop","Microsoft delivered a strong quarter Wednesday evening, with beats nearly across the board.",CNBC,https://www.cnbc.com/2025/04/30/microsoft-quiets-critics-delivers-the-kind-of-quarter-worthy-of-its-stock-pop.html
AAPL,2025-04-30 22:55:37+00:00,"Stock market today: Nasdaq lead S&P 500, Dow higher as Microsoft, Meta earnings reassure Wall Street",Microsoft and Meta's strong earnings reports that eased investor fears of an economic slowdown amid President Trump's tariffs.,Yahoo Entertainment,https://finance.yahoo.com/news/live/stock-market-today-nasdaq-leads-sp-500-dow-higher-as-microsoft-meta-earnings-reassure-wall-street-133642500.html
AAPL,2025-04-30 18:28:08+00:00,Is Apple Inc. (AAPL) the Best Dow Stock for the Next 12 Months?,,Yahoo Entertainment,https://consent.yahoo.com/v2/collectConsent?sessionId=1_cc-session_3f2c9442-bc37-4113-a7a8-d7eb67c34860
AAPL,2025-04-30 18:25:33+00:00,Google CEO warns judge a breakup of search empire 'will have many unintended consequences',Alphabet CEO Sundar Pichai took the witness stand Wednesday at the company's breakup trial in an attempt to preserve the competitive advantages of a crown...,Yahoo Entertainment,https://finance.yahoo.com/news/google-ceo-warns-judge-a-breakup-of-search-empire-will-have-many-unintended-consequences-182533297.html
AAPL,2025-04-30 14:29:38+00:00,Should You Buy the Dip in AAPL Stock Before It Releases Q2 Earnings on May 1?,"Never miss an Options trading signal: Unusual Options Activity and Options Screeners with Barchart Premier.
FREE 30 Day Trial
- Market Pulse
- VolatilityVolume & Open InterestHorizontal StrategiesButterfly Strategies
-
- ResourcesEuropean FuturesEuropean Grou…",Biztoc.com,https://biztoc.com/x/1b5bfce7c1b1c57a
AAPL,2025-04-30 13:17:59+00:00,More Recessionary Fears But The Technical Outlook Gets Stronger,"Over 30% more bears than bulls in the AAII survey and despite more recession warnings, the Viper Report’s Tom Aspray shares the new bullish technical evidence.",Forbes,https://www.forbes.com/sites/tomaspray/2025/04/30/more-recessionary-fears-but-the-technical-outlook-gets-stronger/
AAPL,2025-04-30 12:15:48+00:00,"US stock market today: Futures fluctuate amid big tech earnings and Trump's tariff policies; S&P 500, Dow Jones, Nasdaq updates, and Magnificent Seven stock performance","US stock market today is swinging between gains and losses as investors react to Big Tech earnings and Trump’s latest tariff news. The S&P 500, Dow Jones, and Nasdaq are all feeling the heat, while stocks like Apple, Microsoft, and Amazon—part of the Magnific…",The Times of India,https://economictimes.indiatimes.com/news/international/us/us-stock-market-today-futures-fluctuate-amid-big-tech-earnings-and-trumps-tariff-policies-sp-500-dow-jones-nasdaq-updates-and-magnificent-seven-stock-performance/articleshow/120765162.cms
AAPL,2025-04-30 09:16:38+00:00,Is Apple Inc. (AAPL) Among The Best Warren Buffett Stock Picks For Beginners?,"We recently published a list of 12 Best Warren Buffett Stock Picks For Beginners. In this article, we are going to take a look at where Apple Inc...",Yahoo Entertainment,https://finance.yahoo.com/news/apple-inc-aapl-among-best-091638737.html
AAPL,2025-04-30 09:00:00+00:00,Apple earnings are coming. Here's what to watch,Wall Street is about to find out just how far the Apple (AAPL) may fall from its trillion-dollar tree. As the Silicon Valley giant prepares to release its...,Yahoo Entertainment,https://finance.yahoo.com/news/apple-earnings-coming-heres-watch-090000718.html
